Censos de Población y Viviendas 2011. Viviendas. Resultados Municipales. Principales resultados,,,,,,,,,,
Nacional,,,,,,,,,,
,,,,,,,,,,
Viviendas por municipios (con más de 2.000 habitantes) y tipo de vivienda,,,,,,,,,,
Unidades: viviendas,,,,,,,,,,
,,,,,,,,,,
 ,1 Total viviendas (2+3),2.1 Total viviendas principales (2.11+2.12),2.21 Viviendas secundarias,2.22 Viviendas vacias,3 Total viviendas colectivas,,,,,
18023  Baza,"10,701","7,725","1,163","1,807",6,,,,,
31050  Baztan,"4,344","2,938",295,"1,104",7,,,,,
21011  Beas,"2,480","1,583",623,273,1,,,,,
23012  Beas de Segura,"3,587","2,129",623,831,4,,,,,
20019  Beasain,"6,115","5,647",210,257,1,,,,,
27006  Becerreá,"2,465","1,282",475,707,2,,,,,
28018  Becerril de la Sierra,"4,129","1,977","1,678",473,1,,,,,
23902  Bedmar y Garcíez,"1,940","1,248",189,502,1,,,,,
23014  Begíjar,"1,651","1,212",96,343,0,,,,,
27007  Begonte,"2,177","1,270",689,215,3,,,,,
08020  Begues,"2,907","2,263",382,261,1,,,,,
17013  Begur,"5,233","1,680","3,327",218,7,,,,,
37046  Béjar,"9,423","5,717","1,961","1,740",5,,,,,
14008  Belalcázar,"2,166","1,318",553,294,1,,,,,
25048  Bell-lloc d'Urgell,945,873,0,71,1,,,,,
25050  Bellpuig,"2,329","1,760",49,514,6,,,,,
46048  Bellreguard,"4,089","1,893","1,326",870,0,,,,,
43024  Bellvei,"1,266",813,394,59,0,,,,,
25051  Bellver de Cerdanya,"2,604","1,047","1,116",437,3,,,,,
25052  Bellvís,"1,045",958,42,45,0,,,,,
14009  Belmez,"1,965","1,177",316,471,1,,,,,
16033  Belmonte,"1,620",863,470,284,2,,,,,
09048  Belorado,"1,905",884,834,185,2,,,,,
24014  Bembibre,"5,593","3,829",459,"1,304",1,,,,,
41015  Benacazón,"2,994","2,446",179,369,0,,,,,
46051  Benaguasil,"6,365","4,600",436,"1,327",2,,,,,
04024  Benahadux,"2,017","1,496",163,358,0,,,,,
29023  Benahavís,"3,906","2,025","1,300",581,0,,,,,
29025  Benalmádena,"42,382","25,458","11,330","5,590",4,,,,,
18027  Benalúa,"1,773","1,236",166,370,1,,,,,
11901  Benalup-Casas Viejas,"3,445","2,561",137,747,0,,,,,
18029  Benamaurel,"1,533","1,020",332,181,0,,,,,
14010  Benamejí,"2,786","1,843",398,544,1,,,,,
29027  Benamocarra,"1,330","1,155",44,131,0,,,,,
22054  Benasque,"3,358",938,"2,271",140,9,,,,,
49021  Benavente,"11,458","7,334","1,541","2,574",9,,,,,
24015  Benavides,"2,183","1,122",628,432,1,,,,,
03024  Benejúzar,"2,647","1,948",86,612,1,,,,,
46054  Benetússer,"7,076","6,137",150,789,0,,,,,
12027  Benicarló,"17,146","10,224","2,752","4,165",5,,,,,
12028  Benicasim/Benicàssim,"20,943","7,187","13,091",661,4,,,,,
03031  Benidorm,"58,031","27,912","25,131","4,968",20,,,,,
30010  Beniel,"4,176","3,720",162,294,0,,,,,
46060  Benifaió,"6,258","4,724",267,"1,267",0,,,,,
46058  Benifairó de les Valls,"1,192",926,31,235,0,,,,,
46062  Benigánim,"2,844","2,342",88,413,1,,,,,
03034  Benijófar,"2,090","1,416",328,346,0,,,,,
46063  Benimodo,"1,301",845,0,456,0,,,,,
46067  Benisanó,"1,207",889,112,205,1,,,,,
03041  Benissa,"11,031","5,014","1,077","4,938",3,,,,,
"03042  Benitachell/Poble Nou de Benitatxell, el","4,139","1,970","1,389",780,0,,,,,
31250  Bera,"1,720","1,459",39,218,4,,,,,
48016  Berango,"2,761","2,439",39,283,0,,,,,
08022  Berga,"9,128","7,038",551,"1,531",7,,,,,
20074  Bergara,"6,902","5,962",340,597,3,,,,,
15008  Bergondo,"4,017","2,482","1,115",418,2,,,,,
31905  Beriáin,"1,596","1,487",28,81,0,,,,,
04029  Berja,"7,680","5,094",876,"1,707",2,,,,,
06019  Berlanga,"1,672","1,002",273,397,0,,,,,
48017  Bermeo,"8,434","7,053",338,"1,041",2,,,,,
31902  Berrioplano/Berriobeiti,"2,750","2,149",196,403,2,,,,,
31903  Berriozar,"3,887","3,473",52,362,0,,,,,
48019  Berriz,"2,073","1,867",60,145,1,,,,,
17019  Besalú,"1,229",967,44,206,11,,,,,
17020  Bescanó,"2,212","1,652",363,196,1,,,,,
15009  Betanzos,"7,880","5,258",631,"1,986",4,,,,,
46070  Bétera,"11,315","7,905","1,475","1,927",8,,,,,
12021  Betxí,"3,149","2,302",234,613,0,,,,,
03043  Biar,"2,520","1,420",611,489,0,,,,,
06020  Bienvenida,"1,103",840,131,131,1,,,,,
03044  Bigastro,"3,165","2,431",102,632,0,,,,,
08023  Bigues i Riells,"4,391","3,218","1,026",147,0,,,,,
48020  Bilbao,"162,672","147,655","3,529","11,377",111,,,,,
22061  Binéfar,"4,550","3,652",179,717,2,,,,,
07008  Binissalem,"3,927","2,824",547,555,1,,,,,
"43028  Bisbal del Penedès, La","2,846","1,259","1,120",466,1,,,,,
"17022  Bisbal d'Empordà, La","5,107","4,129",315,661,2,,,,,
30011  Blanca,"3,563","2,410",216,935,2,,,,,
17023  Blanes,"25,264","15,957","7,062","2,238",6,,,,,
28022  Boadilla del Monte,"16,384","14,504",551,"1,325",4,,,,,
"28023  Boalo, El","4,283","2,678","1,173",432,0,,,,,
32013  Boborás,"1,934","1,313",243,378,0,,,,,
46072  Bocairent,"2,614","1,795",158,660,1,,,,,
47023  Boecillo,"2,032","1,505",305,221,1,,,,,
15010  Boimorto,"1,242",776,389,76,1,,,,,
15011  Boiro,"10,258","6,604","1,092","2,562",0,,,,,
13023  Bolaños de Calatrava,"5,097","4,168",498,430,1,,,,,
41016  Bollullos de la Mitación,"4,030","3,204",158,668,0,,,,,
21013  Bollullos Par del Condado,"6,411","4,935",476,"1,000",0,,,,,
21014  Bonares,"2,292","2,040",36,216,0,,,,,
"02019  Bonillo, El","1,858","1,103",549,203,2,,,,,
46074  Bonrepòs i Mirambell,"1,901","1,396",67,438,0,,,,,
24021  Boñar,"2,210",865,667,678,0,,,,,
15012  Boqueixón,"1,753","1,426",122,205,0,,,,,
"25058  Borges Blanques, Les","3,609","2,370",107,"1,129",3,,,,,
"43031  Borges del Camp, Les","1,018",759,161,97,1,,,,,
50055  Borja,"4,173","1,920","1,434",811,8,,,,,
41017  Bormujos,"8,001","6,727",70,"1,201",3,,,,,
11010  Bornos,"3,592","2,958",307,327,0,,,,,
45021  Borox,"2,313","1,244",303,766,0,,,,,
12032  Borriana/Burriana,"19,801","13,080","3,075","3,642",4,,,,,
12031  Borriol,"3,405","1,835",869,700,1,,,,,
"11011  Bosque, El","1,228",779,359,90,0,,,,,
