Censos de Población y Viviendas 2011. Viviendas. Resultados Municipales. Principales resultados,,,,,,,,,,
Nacional,,,,,,,,,,
,,,,,,,,,,
Viviendas por municipios (con más de 2.000 habitantes) y tipo de vivienda,,,,,,,,,,
Unidades: viviendas,,,,,,,,,,
,,,,,,,,,,
 ,1 Total viviendas (2+3),2.1 Total viviendas principales (2.11+2.12),2.21 Viviendas secundarias,2.22 Viviendas vacias,3 Total viviendas colectivas,,,,,
24148  San Justo de la Vega,"1,124",805,169,149,1,,,,,
42164  San Leonardo de Yagüe,"1,496",865,280,351,0,,,,,
28131  San Lorenzo de El Escorial,"10,038","7,110","1,852","1,068",8,,,,,
28132  San Martín de la Vega,"7,554","6,736",81,736,1,,,,,
28133  San Martín de Valdeiglesias,"5,869","2,908","2,022",935,4,,,,,
33060  San Martín del Rey Aurelio,"11,394","7,737","2,018","1,638",1,,,,,
50235  San Mateo de Gállego,"1,706","1,327",311,66,2,,,,,
38035  San Miguel de Abona,"12,153","6,312","3,990","1,850",1,,,,,
03120  San Miguel de Salinas,"5,966","2,861","2,090","1,015",0,,,,,
45153  San Pablo de los Montes,"1,568",842,594,132,0,,,,,
30036  San Pedro del Pinatar,"19,710","8,374","8,844","2,490",2,,,,,
11033  San Roque,"17,013","10,658","2,971","3,378",6,,,,,
15076  San Sadurniño,"1,925","1,120",258,547,0,,,,,
38036  San Sebastián de la Gomera,"5,091","3,302",957,830,3,,,,,
28134  San Sebastián de los Reyes,"32,471","29,710","1,018","1,737",6,,,,,
06123  San Vicente de Alcántara,"3,271","2,290",373,607,1,,,,,
39080  San Vicente de la Barquera,"3,850","1,685","1,776",388,1,,,,,
03122  San Vicente del Raspeig/Sant Vicent del Raspeig,"26,523","20,906","2,706","2,906",5,,,,,
31216  Sangüesa/Zangoza,"2,513","1,980",198,332,3,,,,,
11032  Sanlúcar de Barrameda,"31,850","23,304","5,144","3,395",7,,,,,
41087  Sanlúcar la Mayor,"5,870","4,502",714,649,5,,,,,
08194  Sant Adrià de Besòs,"14,697","13,034",96,"1,562",4,,,,,
08196  Sant Andreu de la Barca,"10,306","9,977",86,238,4,,,,,
08197  Sant Andreu de Llavaneres,"5,800","3,785","1,148",863,4,,,,,
07046  Sant Antoni de Portmany,"10,908","8,489",956,"1,463",0,,,,,
08198  Sant Antoni de Vilamajor,"2,775","2,084",213,475,3,,,,,
08200  Sant Boi de Llobregat,"34,519","30,582",631,"3,295",11,,,,,
43136  Sant Carles de la Ràpita,"10,159","5,857","2,664","1,634",4,,,,,
08203  Sant Cebrià de Vallalta,"2,028","1,296",382,350,0,,,,,
08202  Sant Celoni,"7,595","6,474",468,652,1,,,,,
08204  Sant Climent de Llobregat,"1,633","1,364",35,233,1,,,,,
08205  Sant Cugat del Vallès,"33,359","29,641","1,431","2,264",23,,,,,
08207  Sant Esteve de Palautordera,"1,392",939,162,291,0,,,,,
08208  Sant Esteve Sesrovires,"3,389","2,232",864,290,3,,,,,
08210  Sant Feliu de Codines,"3,187","2,533",131,521,2,,,,,
17160  Sant Feliu de Guíxols,"15,372","8,383","5,320","1,667",2,,,,,
08211  Sant Feliu de Llobregat,"18,467","16,329",349,"1,780",9,,,,,
08209  Sant Fost de Campsentelles,"3,309","2,926",181,195,7,,,,,
08213  Sant Fruitós de Bages,"3,961","3,088",48,824,1,,,,,
17163  Sant Gregori,"1,345","1,100",75,167,3,,,,,
17164  Sant Hilari Sacalm,"3,092","2,303",352,436,1,,,,,
08215  Sant Hipòlit de Voltregà,"1,608","1,362",50,195,1,,,,,
43137  Sant Jaume dels Domenys,"1,530",971,405,153,1,,,,,
43902  Sant Jaume d'Enveja,"1,900","1,292",412,196,0,,,,,
07049  Sant Joan,"1,107",827,72,207,1,,,,,
03119  Sant Joan d'Alacant,"11,272","8,563",992,"1,706",11,,,,,
07050  Sant Joan de Labritja,"3,705","2,151","1,338",216,0,,,,,
17167  Sant Joan de les Abadesses,"2,416","1,446",384,571,15,,,,,
12902  Sant Joan de Moró,"1,802","1,187",301,314,0,,,,,
08218  Sant Joan de Vilatorrada,"4,807","4,119",119,566,2,,,,,
08217  Sant Joan Despí,"13,521","12,237",153,"1,128",3,,,,,
17185  Sant Joan les Fonts,"1,454","1,242",59,152,1,,,,,
07048  Sant Josep de sa Talaia,"16,548","9,372","4,515","2,661",0,,,,,
17169  Sant Julià de Ramis,"1,341","1,232",33,76,0,,,,,
08220  Sant Julià de Vilatorta,"1,406","1,060",153,193,0,,,,,
08221  Sant Just Desvern,"7,507","5,851",154,"1,497",5,,,,,
07051  Sant Llorenç des Cardassar,"4,981","3,369","1,215",397,0,,,,,
08222  Sant Llorenç d'Hortons,"1,249",946,265,37,1,,,,,
08223  Sant Llorenç Savall,"1,345",923,258,163,1,,,,,
07052  Sant Lluís,"4,462","3,051","1,310",101,0,,,,,
08227  Sant Martí Sarroca,"1,280","1,178",42,60,0,,,,,
12100  Sant Mateu,"1,483",830,298,354,1,,,,,
08231  Sant Pere de Ribes,"13,704","11,051","1,471","1,178",3,,,,,
08232  Sant Pere de Riudebitlles,"1,153",925,103,125,0,,,,,
08233  Sant Pere de Torelló,"1,141",992,53,96,0,,,,,
08234  Sant Pere de Vilamajor,"2,227","1,564",545,118,0,,,,,
17178  Sant Pere Pescador,"1,637",790,627,219,1,,,,,
08235  Sant Pol de Mar,"3,698","1,986","1,449",262,1,,,,,
08236  Sant Quintí de Mediona,"1,307",841,264,202,0,,,,,
08237  Sant Quirze de Besora,"1,215",909,90,215,1,,,,,
08238  Sant Quirze del Vallès,"7,485","6,809",358,312,5,,,,,
08240  Sant Sadurní d'Anoia,"5,582","4,782",253,546,1,,,,,
08098  Sant Salvador de Guardiola,"1,549","1,056",378,112,2,,,,,
08262  Sant Vicenç de Castellet,"4,705","3,646",258,792,8,,,,,
08264  Sant Vicenç de Montalt,"3,556","2,079","1,318",152,6,,,,,
08265  Sant Vicenç de Torelló,962,791,68,103,0,,,,,
08263  Sant Vicenç dels Horts,"12,042","9,869",970,"1,198",5,,,,,
06120  Santa Amalia,"2,547","1,540",524,483,0,,,,,
43138  Santa Bàrbara,"2,096","1,592",41,463,0,,,,,
35021  Santa Brígida,"7,737","6,459",344,930,4,,,,,
08244  Santa Coloma de Cervelló,"3,033","2,738",150,144,1,,,,,
17180  Santa Coloma de Farners,"5,820","4,700",359,757,4,,,,,
08245  Santa Coloma de Gramenet,"48,527","45,646",498,"2,371",12,,,,,
43139  Santa Coloma de Queralt,"1,721","1,082",189,449,1,,,,,
15077  Santa Comba,"5,481","3,353",551,"1,577",0,,,,,
17181  Santa Cristina d'Aro,"3,640","2,062","1,300",277,1,,,,,
39073  Santa Cruz de Bezana,"5,655","4,342",450,860,3,,,,,
38037  Santa Cruz de la Palma,"7,395","6,245",550,595,4,,,,,
45156  Santa Cruz de la Zarza,"2,779","1,780",521,477,1,,,,,
13077  Santa Cruz de Mudela,"2,704","1,798",390,515,1,,,,,
38038  Santa Cruz de Tenerife,"96,313","78,572","5,125","12,593",23,,,,,
45157  Santa Cruz del Retamar,"3,768","1,209","2,116",437,6,,,,,
08246  Santa Eugènia de Berga,881,839,21,21,0,,,,,
08248  Santa Eulàlia de Ronçana,"3,164","2,437",569,156,2,,,,,
07054  Santa Eulalia del Río,"20,227","13,436","4,757","2,032",2,,,,,
18175  Santa Fe,"7,237","5,650",522,"1,063",2,,,,,
35022  Santa Lucía de Tirajana,"28,821","23,715",697,"4,405",4,,,,,
07055  Santa Margalida,"8,041","4,607","2,115","1,318",1,,,,,
08250  Santa Margarida de Montbui,"4,448","3,657",126,665,0,,,,,
08251  Santa Margarida i els Monjos,"3,137","2,651",112,373,1,,,,,
39074  Santa María de Cayón,"4,581","3,717",418,445,1,,,,,
08254  Santa Maria de Corcó,"1,170",824,264,80,2,,,,,
35023  Santa María de Guía de Gran Canaria,"6,604","5,000",592,"1,010",2,,,,,
08259  Santa Maria de Palautordera,"4,176","3,376",502,298,0,,,,,
07056  Santa María del Camí,"3,092","2,491",220,379,2,,,,,
24157  Santa María del Páramo,"2,025","1,270",212,543,0,,,,,
24159  Santa Marina del Rey,"1,319",924,262,133,0,,,,,
06121  Santa Marta,"2,206","1,601",159,445,1,,,,,
37294  Santa Marta de Tormes,"7,050","5,219",632,"1,192",7,,,,,
45158  Santa Olalla,"2,387","1,245",628,513,1,,,,,
21069  Santa Olalla del Cala,"1,294",865,260,169,0,,,,,
43140  Santa Oliva,"1,671","1,251",258,160,2,,,,,
08260  Santa Perpètua de Mogoda,"9,848","9,255",198,392,3,,,,,
03121  Santa Pola,"43,870","13,912","24,126","5,828",4,,,,,
08261  Santa Susanna,"1,978","1,225",602,151,0,,,,,
38039  Santa Úrsula,"6,394","5,153",779,462,0,,,,,
14060  Santaella,"2,890","2,160",240,489,1,,,,,
39075  Santander,"92,442","73,395","8,286","10,742",18,,,,,
07057  Santanyí,"9,706","5,343","3,453",905,6,,,,,
15078  Santiago de Compostela,"56,202","37,111","9,553","9,512",26,,,,,
38040  Santiago del Teide,"9,086","4,260","4,227",598,1,,,,,
23904  Santiago-Pontones,"2,419","1,324",736,358,1,,,,,
39076  Santillana del Mar,"1,716","1,460",63,193,0,,,,,
41089  Santiponce,"3,357","2,859",44,453,1,,,,,
23079  Santisteban del Puerto,"2,762","1,802",422,537,1,,,,,
26138  Santo Domingo de la Calzada,"4,876","2,644",784,"1,442",6,,,,,
23080  Santo Tomé,"1,563","1,107",157,299,0,,,,,
30901  Santomera,"6,408","5,512",234,661,1,,,,,
39079  Santoña,"7,285","4,375","1,187","1,721",2,,,,,
"28137  Santos de la Humosa, Los","1,185",854,122,209,0,,,,,
"06122  Santos de Maimona, Los","3,692","2,948",151,592,1,,,,,
47155  Santovenia de Pisuerga,"2,161","1,561",125,473,2,,,,,
08192  Santpedor,"3,165","2,663",125,373,4,,,,,
48082  Santurtzi,"20,935","19,120",238,"1,566",11,,,,,
36051  Sanxenxo,"16,900","5,836","8,065","2,994",5,,,,,
24163  Sariegos,"2,323","1,702",421,197,2,,,,,
22213  Sariñena,"2,498","1,605",581,309,3,,,,,
27057  Sarria,"8,661","5,361","1,089","2,205",5,,,,,
17186  Sarrià de Ter,"2,100","1,925",27,147,1,,,,,
"41090  Saucejo, El","1,838","1,587",156,95,0,,,,,
"38041  Sauzal, El","3,420","3,156",151,110,3,,,,,
"27058  Saviñao, O","2,699","1,729",522,448,0,,,,,
03123  Sax,"5,879","3,839","1,311",729,0,,,,,
46223  Sedaví,"4,672","3,924",188,559,1,,,,,
12104  Segorbe,"5,949","3,713","1,294",938,3,,,,,
40194  Segovia,"28,894","21,254","2,649","4,972",19,,,,,
06124  Segura de León,"1,379",769,323,287,0,,,,,
39082  Selaya,"1,049",796,114,139,0,,,,,
07058  Selva,"2,282","1,389",493,400,0,,,,,
"43145  Selva del Camp, La","2,630","2,008",430,189,3,,,,,
07047  Sencelles,"2,188","1,217",459,510,2,,,,,
"43044  Sénia, La","3,472","2,368",392,711,1,,,,,
08267  Sentmenat,"3,672","3,247",214,210,1,,,,,
04083  Serón,"1,562",945,344,270,2,,,,,
46228  Serra,"2,655","1,349",971,334,1,,,,,
28140  Serranillos del Valle,"1,571","1,163",170,233,4,,,,,
45161  Seseña,"11,860","6,680",636,"4,543",1,,,,,
48084  Sestao,"13,185","12,194",210,779,2,,,,,
11034  Setenil de las Bodegas,"1,764","1,103",128,532,1,,,,,
"25203  Seu d'Urgell, La","7,061","5,262",673,"1,119",7,,,,,
08269  Seva,"1,785","1,282",371,131,1,,,,,
41091  Sevilla,"337,303","268,435","20,612","48,178",77,,,,,
28141  Sevilla la Nueva,"4,027","3,033",548,441,5,,,,,
33066  Siero,"25,255","20,468","1,850","2,924",12,,,,,
10177  Sierra de Fuentes,"1,281",789,232,259,1,,,,,
29088  Sierra de Yeguas,"1,650","1,246",138,266,0,,,,,
19257  Sigüenza,"5,127","1,767","2,526",824,10,,,,,
23082  Siles,"1,708",950,557,200,1,,,,,
46230  Silla,"9,211","7,347",207,"1,655",2,,,,,
36052  Silleda,"5,201","3,365",617,"1,219",0,,,,,
"38042  Silos, Los","2,102","1,782",223,95,2,,,,,
17193  Sils,"2,632","2,126",348,157,1,,,,,
47161  Simancas,"2,578","1,763",560,254,1,,,,,
46231  Simat de la Valldigna,"1,896","1,409",213,273,1,,,,,
07060  Sineu,"2,168","1,371",84,711,2,,,,,
06125  Siruela,"1,949",911,744,293,1,,,,,
08270  Sitges,"19,158","12,240","4,466","2,449",3,,,,,
27059  Sober,"2,202","1,086",621,494,1,,,,,
15080  Sobrado,"1,368",730,444,193,1,,,,,
13078  Socuéllamos,"6,909","5,155",530,"1,220",4,,,,,
06126  Solana de los Barros,"1,201","1,013",67,121,0,,,,,
"13079  Solana, La","7,445","5,460",483,"1,497",6,,,,,
46233  Sollana,"2,664","2,126",165,372,1,,,,,
07061  Sóller,"7,304","5,245","1,482",571,6,,,,,
25207  Solsona,"4,932","3,680",235,"1,012",4,,,,,
07062  Son Servera,"6,309","4,546",492,"1,270",1,,,,,
48904  Sondika,"1,968","1,794",52,121,1,,,,,
45163  Sonseca,"5,100","4,146",399,554,1,,,,,
48085  Sopelana,"5,913","4,673",682,555,2,,,,,
48086  Sopuerta,"1,347",962,179,202,4,,,,,
20065  Soraluze/Placencia de las Armas,"1,999","1,638",150,210,1,,,,,
04086  Sorbas,"1,887","1,031",671,184,1,,,,,
42173  Soria,"23,597","15,965","3,645","3,977",10,,,,,
25209  Sort,"1,909",949,795,158,7,,,,,
05240  Sotillo de la Adrada,"4,589","1,890","1,638","1,058",3,,,,,
33069  Soto del Barco,"3,347","1,824",952,571,0,,,,,
28144  Soto del Real,"5,218","2,316","2,446",452,4,,,,,
36053  Soutomaior,"3,600","2,587",372,641,0,,,,,
39085  Suances,"6,998","3,583","2,697",716,3,,,,,
08273  Subirats,"1,694","1,089",387,215,3,,,,,
46235  Sueca,"25,156","11,245","11,537","2,370",4,,,,,
08274  Súria,"3,179","2,400",274,504,1,,,,,
04088  Tabernas,"2,453","1,459",483,511,0,,,,,
27060  Taboada,"2,148","1,160",650,337,1,,,,,
38043  Tacoronte,"10,747","8,461",981,"1,304",1,,,,,
31227  Tafalla,"5,260","4,181",150,926,3,,,,,
28145  Talamanca de Jarama,"1,950","1,152",528,269,1,,,,,
06127  Talarrubias,"2,729","1,382",911,434,2,,,,,
45165  Talavera de la Reina,"42,390","32,058","4,560","5,752",21,,,,,
06128  Talavera la Real,"2,461","1,968",129,362,2,,,,,
10180  Talayuela,"3,374","3,289",43,41,1,,,,,
22225  Tamarite de Litera,"1,853","1,346",229,276,2,,,,,
"38044  Tanque, El","1,183","1,047",41,95,0,,,,,
33070  Tapia de Casariego,"3,050","1,335","1,401",313,1,,,,,
08278  Taradell,"2,795","2,257",279,255,3,,,,,
16203  Tarancón,"7,959","5,575",671,"1,711",2,,,,,
50251  Tarazona,"6,785","4,395","1,041","1,347",2,,,,,
02073  Tarazona de la Mancha,"3,576","2,401",385,790,0,,,,,
11035  Tarifa,"12,104","6,578","4,507","1,012",7,,,,,
43148  Tarragona,"65,723","52,391","5,548","7,772",12,,,,,
25217  Tàrrega,"8,629","6,193",316,"2,118",2,,,,,
50252  Tauste,"3,597","2,774",229,590,4,,,,,
46237  Tavernes Blanques,"4,481","3,662",99,720,0,,,,,
46238  Tavernes de la Valldigna,"15,190","7,199","6,020","1,970",1,,,,,
38045  Tazacorte,"2,376","1,902",214,258,3,,,,,
29089  Teba,"1,988","1,566",212,210,0,,,,,
38046  Tegueste,"4,594","3,802",240,551,1,,,,,
35024  Teguise,"11,104","7,810","2,118","1,173",3,,,,,
08281  Teià,"2,479","2,164",185,129,1,,,,,
35025  Tejeda,999,857,110,32,0,,,,,
35026  Telde,"46,465","36,856","2,540","7,062",8,,,,,
45166  Tembleque,"1,529",846,448,234,1,,,,,
15082  Teo,"8,486","6,400","1,074","1,006",7,,,,,
35027  Teror,"6,544","4,787",823,932,2,,,,,
37322  Terradillos,"2,012","1,337",449,226,0,,,,,
08279  Terrassa,"101,739","83,249","2,544","15,908",38,,,,,
44216  Teruel,"19,022","13,218","2,755","3,026",22,,,,,
03128  Teulada,"12,701","5,406","5,373","1,919",3,,,,,
08282  Tiana,"3,100","2,887",35,174,4,,,,,
35028  Tías,"15,521","7,915","6,586","1,015",5,,,,,
28146  Tielmes,"1,467",953,155,358,1,,,,,
"05241  Tiemblo, El","5,179","1,740","2,328","1,108",3,,,,,
38047  Tijarafe,"1,623","1,016",371,236,0,,,,,
04092  Tíjola,"2,222","1,352",598,271,1,,,,,
35029  Tinajo,"2,419","2,023",214,181,1,,,,,
33073  Tineo,"5,866","3,869","1,437",559,1,,,,,
02074  Tobarra,"5,366","3,071","1,598",696,1,,,,,
"45167  Toboso, El","1,322",847,319,152,4,,,,,
41092  Tocina,"4,460","3,374",272,813,1,,,,,
32081  Toén,"2,008","1,015",511,482,0,,,,,
45168  Toledo,"37,923","31,386","2,464","4,030",44,,,,,
20071  Tolosa,"8,596","7,257",426,907,6,,,,,
29090  Tolox,"1,766",948,434,382,2,,,,,
41093  Tomares,"9,110","7,982",159,969,0,,,,,
13082  Tomelloso,"18,446","13,655","1,015","3,769",7,,,,,
36054  Tomiño,"5,476","4,524",528,424,0,,,,,
08283  Tona,"3,602","3,048",185,366,3,,,,,
24206  Toral de los Vados,"1,326",851,287,187,1,,,,,
08284  Tordera,"8,468","6,275",814,"1,370",9,,,,,
47165  Tordesillas,"5,451","3,569","1,144",736,2,,,,,
15084  Tordoia,"1,465","1,179",129,157,0,,,,,
08285  Torelló,"6,604","5,363",293,947,1,,,,,
24169  Toreno,"2,308","1,443",327,530,8,,,,,
49219  Toro,"5,708","3,620",762,"1,314",12,,,,,
13083  Torralba de Calatrava,"1,992","1,192",513,286,1,,,,,
"08286  Torre de Claramunt, La","1,793","1,375",119,297,2,,,,,
24170  Torre del Bierzo,"1,243",963,36,244,0,,,,,
23086  Torre del Campo,"7,268","5,224",415,"1,628",1,,,,,
12117  Torreblanca,"5,797","2,289","2,527",980,1,,,,,
23085  Torreblascopedro,"1,510","1,036",61,413,0,,,,,
43153  Torredembarra,"14,400","6,198","6,833","1,366",4,,,,,
23087  Torredonjimeno,"7,165","5,170",207,"1,786",2,,,,,
25228  Torrefarrera,"1,925","1,537",82,305,1,,,,,
25230  Torregrossa,"1,088",797,80,211,0,,,,,
28148  Torrejón de Ardoz,"49,216","44,581",661,"3,967",7,,,,,
28149  Torrejón de la Calzada,"2,787","2,501",122,163,1,,,,,
28150  Torrejón de Velasco,"1,769","1,417",102,250,0,,,,,
19280  Torrejón del Rey,"3,291","1,766","1,155",370,0,,,,,
10189  Torrejoncillo,"2,189","1,379",572,237,1,,,,,
28151  Torrelaguna,"2,621","1,842",235,542,2,,,,,
39087  Torrelavega,"26,553","21,959",819,"3,757",18,,,,,
08288  Torrelles de Foix,"1,805",983,583,238,1,,,,,
08289  Torrelles de Llobregat,"2,535","2,057",476,0,2,,,,,
28152  Torrelodones,"8,262","6,962",552,739,9,,,,,
06133  Torremejía,"1,049",859,60,130,0,,,,,
29901  Torremolinos,"44,257","28,724","7,525","7,993",14,,,,,
46244  Torrent,"40,303","29,851","5,174","5,251",27,,,,,
13085  Torrenueva,"1,895","1,157",484,253,1,,,,,
30037  Torre-Pacheco,"20,387","10,744","2,316","7,326",1,,,,,
23088  Torreperogil,"3,961","2,762",521,676,2,,,,,
"30038  Torres de Cotillas, Las","8,946","7,432",664,849,1,,,,,
28154  Torres de la Alameda,"2,945","2,587",196,157,4,,,,,
25232  Torres de Segre,977,792,100,85,0,,,,,
03133  Torrevieja,"122,338","39,855","62,585","19,887",11,,,,,
45173  Torrijos,"5,987","4,799",126,"1,056",7,,,,,
17199  Torroella de Montgrí,"11,049","4,404","3,749","2,894",2,,,,,
29091  Torrox,"16,828","7,101","6,856","2,867",4,,,,,
43155  Tortosa,"17,005","12,984","1,931","2,083",7,,,,,
17202  Tossa de Mar,"5,927","2,458","3,022",446,1,,,,,
30039  Totana,"14,223","9,994","2,439","1,789",1,,,,,
15085  Touro,"1,866","1,295",455,115,1,,,,,
15086  Trazo,"1,271","1,040",184,47,0,,,,,
11037  Trebujena,"3,214","2,574",61,579,0,,,,,
25234  Tremp,"4,659","2,489","1,308",856,6,,,,,
28903  Tres Cantos,"14,460","13,306",282,870,2,,,,,
21070  Trigueros,"3,345","2,697",172,475,1,,,,,
10195  Trujillo,"5,381","3,505",756,"1,110",10,,,,,
31232  Tudela,"16,152","14,063",390,"1,691",8,,,,,
47175  Tudela de Duero,"5,042","3,320","1,052",667,3,,,,,
36055  Tui,"7,348","5,870",520,954,4,,,,,
35030  Tuineje,"6,379","4,908",950,521,0,,,,,
46248  Turís,"3,843","2,399",719,725,0,,,,,
04093  Turre,"3,231","1,476",807,948,0,,,,,
23092  Úbeda,"17,891","12,959","1,900","3,027",5,,,,,
11038  Ubrique,"8,576","6,343",738,"1,494",1,,,,,
19293  Uceda,"2,599","1,072","1,338",188,1,,,,,
48065  Ugao-Miraballes,"1,897","1,638",41,218,0,,,,,
45176  Ugena,"2,395","1,729",537,129,0,,,,,
18182  Ugíjar,"1,808",946,337,524,1,,,,,
43156  Ulldecona,"3,979","2,632",342,"1,002",3,,,,,
41094  Umbrete,"3,432","2,825",109,498,0,,,,,
"30041  Unión, La","8,532","6,546",359,"1,627",0,,,,,
45177  Urda,"1,890","1,115",562,210,3,,,,,
48089  Urduliz,"1,637","1,315",41,280,1,,,,,
48074  Urduña/Orduña,"2,245","1,728",286,230,1,,,,,
20072  Urnieta,"2,619","2,272",120,227,0,,,,,
20077  Urretxu,"2,988","2,747",101,139,1,,,,,
20073  Usurbil,"2,858","2,243",333,281,1,,,,,
50272  Utebo,"7,920","6,778",405,735,2,,,,,
46249  Utiel,"7,156","4,841","1,564",749,2,,,,,
41095  Utrera,"22,607","18,326","1,578","2,700",3,,,,,
44238  Utrillas,"1,734","1,175",352,206,1,,,,,
08291  Vacarisses,"3,944","2,259","1,312",370,3,,,,,
39095  Val de San Vicente,"2,469","1,189",750,529,1,,,,,
15088  Val do Dubra,"2,069","1,532",190,346,1,,,,,
"27063  Valadouro, O","1,579",911,333,331,4,,,,,
39091  Valdáliga,"1,484",927,392,165,0,,,,,
24175  Valdefresno,"1,507",876,527,100,4,,,,,
06901  Valdelacalzada,"1,156","1,019",16,121,0,,,,,
28160  Valdemorillo,"7,054","4,412","2,000",642,0,,,,,
28161  Valdemoro,"27,605","24,839",458,"2,301",7,,,,,
28162  Valdeolmos-Alalpardo,"1,871","1,254",183,433,1,,,,,
13087  Valdepeñas,"15,959","11,257","1,787","2,908",7,,,,,
23093  Valdepeñas de Jaén,"2,456","1,556",530,370,0,,,,,
44246  Valderrobres,"1,733",928,566,237,2,,,,,
33034  Valdés,"7,238","4,898","1,661",670,8,,,,,
28164  Valdetorres de Jarama,"2,240","1,455",687,97,1,,,,,
28165  Valdilecha,"1,626","1,023",317,286,0,,,,,
15087  Valdoviño,"5,283","2,590","1,927",766,0,,,,,
46250  Valencia,"419,994","328,979","33,757","57,193",64,,,,,
10203  Valencia de Alcántara,"3,859","2,430",977,450,2,,,,,
24188  Valencia de Don Juan,"4,070","2,002","1,005","1,062",1,,,,,
06141  Valencia del Ventoso,"1,425",834,313,278,0,,,,,
41096  Valencina de la Concepción,"3,572","2,661",652,258,1,,,,,
36056  Valga,"2,422","1,874",356,192,0,,,,,
12124  Vall d'Alba,"1,713","1,168",165,380,0,,,,,
"17207  Vall d'en Bas, La","1,458","1,042",222,194,0,,,,,
"12126  Vall d'Uixó, la","16,142","12,633",455,"3,052",2,,,,,
46251  Vallada,"2,276","1,255",841,179,1,,,,,
47186  Valladolid,"158,259","129,151","10,260","18,757",91,,,,,
29093  Valle de Abdalajís,"1,429","1,069",161,196,3,,,,,
09410  Valle de Mena,"3,529","1,605","1,651",270,3,,,,,
48080  Valle de Trápaga-Trapagaran,"5,581","4,899",171,508,3,,,,,
18907  Valle del Zalabí,"1,390",987,176,227,0,,,,,
38049  Valle Gran Rey,"4,269","2,099",986,"1,169",15,,,,,
38050  Vallehermoso,"1,622","1,341",218,62,1,,,,,
35032  Valleseco,"1,893","1,450",343,100,0,,,,,
08294  Vallgorguina,"1,320",995,86,239,0,,,,,
08295  Vallirana,"6,878","5,100","1,113",659,6,,,,,
08296  Vallromanes,"1,133",896,136,101,0,,,,,
43161  Valls,"12,049","9,523",986,"1,533",6,,,,,
45180  Valmojado,"2,224","1,549",146,526,3,,,,,
35031  Valsequillo de Gran Canaria,"4,308","3,243",297,768,0,,,,,
31249  Valtierra,"1,206",892,66,247,1,,,,,
38048  Valverde,"2,500","1,963",314,221,2,,,,,
24189  Valverde de la Virgen,"4,290","2,855",471,959,5,,,,,
06143  Valverde de Leganés,"1,825","1,474",51,300,0,,,,,
21072  Valverde del Camino,"6,757","4,786","1,094",874,3,,,,,
10205  Valverde del Fresno,"1,738","1,073",364,300,1,,,,,
43162  Vandellòs i l'Hospitalet de l'Infant,"4,972","2,393","2,109",469,1,,,,,
15089  Vedra,"2,061","1,618",214,229,0,,,,,
24196  Vega de Espinareda,"1,499","1,036",119,344,0,,,,,
35033  Vega de San Mateo,"3,712","2,841",441,430,0,,,,,
33074  Vegadeo,"2,448","1,732",321,392,3,,,,,
18911  Vegas del Genil,"4,762","3,469",530,762,1,,,,,
11039  Vejer de la Frontera,"6,698","4,552","1,313",829,4,,,,,
45181  Velada,"1,622",996,321,304,1,,,,,
18184  Vélez de Benaudalla,"1,807","1,032",214,561,0,,,,,
04098  Vélez-Blanco,"1,921",920,762,238,1,,,,,
29094  Vélez-Málaga,"47,240","28,606","12,062","6,563",9,,,,,
04099  Vélez-Rubio,"4,383","2,682",908,789,4,,,,,
28167  Velilla de San Antonio,"4,372","4,127",112,133,0,,,,,
"43163  Vendrell, El","31,031","14,397","12,369","4,260",5,,,,,
34023  Venta de Baños,"3,640","2,664",229,745,2,,,,,
"45183  Ventas de Retamosa, Las","2,067","1,188",366,512,1,,,,,
04100  Vera,"10,548","5,389","2,749","2,408",2,,,,,
"03138  Verger, el","3,022","1,761",423,836,2,,,,,
32085  Verín,"9,955","5,662","1,710","2,582",1,,,,,
31251  Viana,"2,357","1,634",192,530,1,,,,,
32086  Viana do Bolo,"2,951","1,267","1,109",572,3,,,,,
04101  Viator,"2,554","2,004",204,344,2,,,,,
08298  Vic,"19,171","15,744",723,"2,687",17,,,,,
04102  Vícar,"11,293","7,493","1,583","2,216",1,,,,,
"38051  Victoria de Acentejo, La","3,577","3,163",241,173,0,,,,,
"14065  Victoria, La","1,209",914,104,191,0,,,,,
17213  Vidreres,"3,812","2,832",514,463,2,,,,,
25243  Vielha e Mijaran,"4,466","2,075","2,288",83,20,,,,,
36057  Vigo,"143,638","114,455","10,536","18,588",58,,,,,
36059  Vila de Cruces,"3,493","2,164",672,657,0,,,,,
17215  Vilablareix,857,836,0,21,0,,,,,
36058  Vilaboa,"2,972","2,012",543,417,0,,,,,
08301  Viladecans,"27,626","24,231",671,"2,714",9,,,,,
08300  Viladecavalls,"2,882","2,451",187,243,1,,,,,
17221  Vilafant,"1,953","1,844",22,86,1,,,,,
07065  Vilafranca de Bonany,"1,441","1,082",95,264,0,,,,,
08305  Vilafranca del Penedès,"19,084","15,138",820,"3,109",16,,,,,
36060  Vilagarcía de Arousa,"19,751","13,938","1,399","4,411",3,,,,,
27065  Vilalba,"8,567","5,623","1,119","1,824",1,,,,,
43166  Vilallonga del Camp,"1,121",829,78,214,0,,,,,
32087  Vilamarín,"1,397",832,326,238,1,,,,,
46256  Vilamarxant,"5,313","3,460",900,953,0,,,,,
36061  Vilanova de Arousa,"4,858","3,524",854,477,3,,,,,
