,COD Ciudad,Renta neta media por persona 2020,COD,CIUDAD
367,1913001008 Guadalajara sección 01008,9867,1913001008, Guadalajara sección 
368,1913001009 Guadalajara sección 01009,10492,1913001009, Guadalajara sección 
369,1913001010 Guadalajara sección 01010,9753,1913001010, Guadalajara sección 
370,1913001011 Guadalajara sección 01011,13027,1913001011, Guadalajara sección 
371,1913001012 Guadalajara sección 01012,9015,1913001012, Guadalajara sección 
372,1913001013 Guadalajara sección 01013,14873,1913001013, Guadalajara sección 
373,1913001014 Guadalajara sección 01014,12703,1913001014, Guadalajara sección 
374,1913001015 Guadalajara sección 01015,11058,1913001015, Guadalajara sección 
375,1913001016 Guadalajara sección 01016,11666,1913001016, Guadalajara sección 
376,1913002 Guadalajara distrito 02,13647,1913002, Guadalajara distrito 
377,1913002001 Guadalajara sección 02001,14058,1913002001, Guadalajara sección 
378,1913002002 Guadalajara sección 02002,13775,1913002002, Guadalajara sección 
379,1913002003 Guadalajara sección 02003,10467,1913002003, Guadalajara sección 
380,1913002004 Guadalajara sección 02004,11077,1913002004, Guadalajara sección 
381,1913002005 Guadalajara sección 02005,9813,1913002005, Guadalajara sección 
382,1913002006 Guadalajara sección 02006,12761,1913002006, Guadalajara sección 
383,1913002007 Guadalajara sección 02007,16327,1913002007, Guadalajara sección 
384,1913002008 Guadalajara sección 02008,16654,1913002008, Guadalajara sección 
385,1913002009 Guadalajara sección 02009,15040,1913002009, Guadalajara sección 
386,1913002010 Guadalajara sección 02010,11356,1913002010, Guadalajara sección 
387,1913002011 Guadalajara sección 02011,14797,1913002011, Guadalajara sección 
388,1913002012 Guadalajara sección 02012,12760,1913002012, Guadalajara sección 
389,1913002013 Guadalajara sección 02013,13311,1913002013, Guadalajara sección 
390,1913002014 Guadalajara sección 02014,15306,1913002014, Guadalajara sección 
391,1913002015 Guadalajara sección 02015,12540,1913002015, Guadalajara sección 
392,1913002016 Guadalajara sección 02016,15409,1913002016, Guadalajara sección 
393,1913003 Guadalajara distrito 03,14474,1913003, Guadalajara distrito 
394,1913003001 Guadalajara sección 03001,16148,1913003001, Guadalajara sección 
395,1913003002 Guadalajara sección 03002,13414,1913003002, Guadalajara sección 
396,1913003003 Guadalajara sección 03003,8385,1913003003, Guadalajara sección 
397,1913003004 Guadalajara sección 03004,17288,1913003004, Guadalajara sección 
398,1913003005 Guadalajara sección 03005,11902,1913003005, Guadalajara sección 
399,1913003007 Guadalajara sección 03007,13335,1913003007, Guadalajara sección 
400,1913003008 Guadalajara sección 03008,15602,1913003008, Guadalajara sección 
401,1913003009 Guadalajara sección 03009,13113,1913003009, Guadalajara sección 
402,1913003010 Guadalajara sección 03010,17160,1913003010, Guadalajara sección 
403,1913003011 Guadalajara sección 03011,16184,1913003011, Guadalajara sección 
404,1913003012 Guadalajara sección 03012,15627,1913003012, Guadalajara sección 
405,1913004 Guadalajara distrito 04,14743,1913004, Guadalajara distrito 
406,1913004001 Guadalajara sección 04001,13505,1913004001, Guadalajara sección 
407,1913004002 Guadalajara sección 04002,14724,1913004002, Guadalajara sección 
408,1913004003 Guadalajara sección 04003,17726,1913004003, Guadalajara sección 
409,1913004004 Guadalajara sección 04004,12411,1913004004, Guadalajara sección 
410,1913004005 Guadalajara sección 04005,12687,1913004005, Guadalajara sección 
411,1913004006 Guadalajara sección 04006,15364,1913004006, Guadalajara sección 
412,1913004007 Guadalajara sección 04007,16511,1913004007, Guadalajara sección 
413,1913004008 Guadalajara sección 04008,15262,1913004008, Guadalajara sección 
414,1913004009 Guadalajara sección 04009,15186,1913004009, Guadalajara sección 
415,1913004010 Guadalajara sección 04010,13358,1913004010, Guadalajara sección 
416,1913004011 Guadalajara sección 04011,14897,1913004011, Guadalajara sección 
